"","fit_gee.residuals"
"117",3.35258119204487
"118",3.39218520525029
"119",0.906137232542494
"120",1.80794138504574
"121",-2.29649270999568
"122",-0.498861603556402
"123",2.00310130423866
"124",1.26393513279146
"125",0.901227834767552
"126",-2.62214350371685
"127",2.31597723611962
"128",-5.35249734771934
"129",-0.568196718820471
"130",3.03827636866317
"132",1.99180083995263
"133",2.35398174716747
"134",1.79357860329377
"135",-4.62524568602951
"136",4.9854025325475
"137",2.36566176430359
"138",0.367763260446081
"139",0.898383891849759
"140",0.847208572274685
"141",3.76570707887597
"142",-5.11418713253774
"143",0.354311110046904
"144",0.568912850669425
"145",-2.42453875315808
"146",-2.34484978882585
"147",2.75617453301688
"148",0.975953951960168
"149",2.19381110744174
"150",-2.43922963469337
"151",-2.55088295610291
"152",-2.41512097623785
"153",-2.41792656642096
"154",-2.61085967971011
"155",-2.58484830972725
"156",-1.83369977936226
"157",-1.99151085116644
"158",-2.19855849388168
"159",-2.21389236685205
"163",4.90797373158472
"164",-5.6250696287025
"165",-2.60448584090458
"166",4.62886304735442
"167",1.87314496527953
"168",1.96128281389996
"169",3.16161162196366
"170",-2.63019659987291
"171",-0.40700452218344
"172",1.00491724056877
"173",-4.15167322467807
"174",-1.15874467372672
"175",2.37725733380825
"176",-2.75727218392762
"177",1.88915643466728
"178",-5.33641690577836
"180",-2.59255946420059
"181",4.68789950642686
"182",-5.86001946052712
"183",5.22007675761049
"184",1.64261216049806
"185",-2.60286588149597
"186",-5.91759633829274
"187",-1.63045016624117
"189",1.98455969496961
"190",-2.59642294002804
"193",1.99089824827402
"194",-2.56026296477018
"196",-0.23198537013869
"197",1.97309851136726
"198",1.72278393611636
"199",0.743586089686296
"200",-2.58016491720428
"202",0.893180318318289
"204",1.67997241686323
"208",-1.09113830636868
"210",2.55110881299682
"211",4.98628272562653
"212",1.20851615339146
"213",4.3998674049215
"214",4.72294356613153
"215",0.863675335594773
"216",3.37480438466549
"217",-5.52890801761602
"218",-0.954705461064259
"220",2.15343921967744
"221",-5.79186840177485
"223",-4.36767622972919
"224",-2.36240206989466
"226",-2.59165125610095
"227",5.49912051473559
"228",-4.30685239976376
"229",0.31128366865065
